V_GS,V_DS,I_DS
3.2,4.600000000000001,0.3950664
3.2,4.800000000000001,0.3950664
3.2,5.0,0.3950664
3.2,5.2,0.3950664
3.2,5.4,0.3950664
3.2,5.600000000000001,0.3950664
3.2,5.800000000000001,0.3950664
3.2,6.0,0.3950664
3.2,6.2,0.3950664
3.2,6.4,0.3950664
3.2,6.600000000000001,0.3950664
3.2,6.800000000000001,0.3950664
3.2,7.0,0.3950664
3.2,7.2,0.3950664
3.2,7.4,0.3950664
3.2,7.600000000000001,0.3950664
3.2,7.800000000000001,0.3950664
3.2,8.0,0.3950664
3.2,8.200000000000001,0.3950664
3.2,8.4,0.3950664
3.2,8.6,0.3950664
3.2,8.8,0.3950664
3.2,9.0,0.3950664
3.2,9.200000000000001,0.3950664
3.2,9.4,0.3950664
3.2,9.600000000000001,0.3950664
3.2,9.8,0.3950664
3.2,10.0,0.3950664
3.4,0.0,-1.527339e-28
3.4,0.2,0.04180659
3.4,0.4,0.08306624
3.4,0.6000000000000001,0.1236963
3.4,0.8,0.1635955
